Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Saurabh,UK (United Kingdom),iPad,0,casi,Casino Royale,view_video_info,title_results,9/12/20 2:06
Saurabh,UK (United Kingdom),iPad,0,parks and,The Good Place,view_video_info,title_results,9/12/20 2:06
Saurabh,UK (United Kingdom),iPad,0,parks and,Easy A,view_video_info,title_results,9/12/20 2:05
Saurabh,UK (United Kingdom),iPad,0,,The Queen's Gambit,view_video_info,popularSearches,8/12/20 5:11
Saurabh,UK (United Kingdom),iPhone,0,the little ras,If Anything Happens I Love You,view_video_info,title_results,8/12/20 2:49
Saurabh,UK (United Kingdom),HTML 5,0,eno,Enola Holmes,play,title_results,28/11/20 4:50
Saurabh,UK (United Kingdom),iPhone,0,stranger rhin,Stranger Things,view_video_info,title_results,28/11/20 2:46
Saurabh,UK (United Kingdom),iPhone,0,enola,Enola Holmes,view_video_info,title_results,28/11/20 2:45
Saurabh,UK (United Kingdom),iPhone,0,mis,Mismatched,play,video_info,21/11/20 8:16
Saurabh,UK (United Kingdom),iPhone,0,mis,Mismatched,view_video_info,title_results,21/11/20 8:15
Saurabh,UK (United Kingdom),Streaming Stick,0,blue,Blue Is the Warmest Color,view_suggestion_info,suggestion_results,16/11/20 4:07
Saurabh,UK (United Kingdom),iPhone,0,feiends,Friends,play,video_info,8/11/20 3:13
Saurabh,UK (United Kingdom),iPhone,0,feiends,Friends,view_video_info,title_results,8/11/20 3:07
Saurabh,UK (United Kingdom),HTML 5,0,david lettermen,,play,title_results,4/11/20 4:29
Saurabh,UK (United Kingdom),iPhone,0,david,My Next Guest Needs No Introduction With David Letterman,play,video_info,4/11/20 4:27
Saurabh,UK (United Kingdom),iPhone,0,david,My Next Guest Needs No Introduction With David Letterman,view_video_info,suggestion_title_results,4/11/20 4:26
Saurabh,UK (United Kingdom),iPhone,0,david,David Letterman Collection,view_suggestion_info,suggestion_results,4/11/20 4:26
Saurabh,UK (United Kingdom),iPhone,0,david,My Next Guest with David Letterman and Shah Rukh Khan,view_video_info,title_results,4/11/20 4:26
Saurabh,UK (United Kingdom),Streaming Stick,0,dre,Dream House,play,video_info,20/06/20 7:51
Saurabh,UK (United Kingdom),Streaming Stick,0,dre,Dream House,view_video_info,suggestion_title_results,20/06/20 7:51
Veni,US (United States),Streaming Stick,1,chi,The Croods,play,video_info,28/08/20 1:57
Veni,US (United States),Streaming Stick,1,chi,The Croods,view_video_info,title_results,28/08/20 1:57
Veni,US (United States),Streaming Stick,1,chi,Chip and Potato,play,video_info,28/08/20 1:10
Veni,US (United States),Streaming Stick,1,chi,Chip and Potato,view_video_info,title_results,28/08/20 1:10
Veni,AUS (Australia),Streaming Stick,1,lam,Llama Llama,play,video_info,6/8/20 2:36
Veni,AUS (Australia),Streaming Stick,1,lam,Llama Llama,view_video_info,title_results,6/8/20 2:36
Veni,AUS (Australia),Streaming Stick,1,p,PJ Masks,play,video_info,6/6/20 0:56
Veni,AUS (Australia),Streaming Stick,1,p,PJ Masks,view_video_info,suggestion_title_results,6/6/20 0:56
Veni,IN (India),Streaming Stick,1,ma,Masha and the Bear,play,video_info,3/6/20 1:22
Veni,IN (India),Streaming Stick,1,ma,Masha and the Bear,view_video_info,suggestion_title_results,3/6/20 1:22
